,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Apr-1980,547.9,546.4,546.3,350.3,351.1,352.0,197.6,195.3,194.3,447.0,447.6,447.1,331.4,332.5,332.7,115.6,115.2,114.4,99.1,19.2,79.9,58.9,58.7,58.7,75.1,75.2,75.4,42.6,42.1,41.9,38.8,37.4,36.5,21.0,20.2,19.1,17.7,17.2,17.4,31.4,18.2,13.2,5.2,1.0,4.2,6.6,6.4,6.3,5.7,5.4,5.2,8.2,8.1,8.2,6.6,5.2,10.3,5.0,4.7,5.0,586.7,583.8,582.8,371.3,371.3,371.1,215.4,212.5,211.7,63.1,62.8,62.6,79.6,79.5,79.5,46.5,45.8,45.7,347.5,95.7,251.8,930.3,466.8,463.5
May-1980,550.7,551.6,555.0,352.1,351.8,353.6,198.6,199.7,201.3,448.6,448.9,450.3,333.2,332.9,333.9,115.4,116.0,116.4,104.7,19.8,84.9,59.1,59.2,59.5,75.3,75.2,75.6,42.8,43.0,43.3,38.1,38.6,36.1,20.6,20.7,19.1,17.5,17.8,17.0,29.1,17.7,11.4,7.0,1.4,5.6,6.5,6.5,6.1,5.5,5.6,5.1,8.1,8.2,7.8,6.1,5.0,8.9,6.3,6.6,6.2,588.8,590.1,591.1,372.7,372.6,372.8,216.1,217.6,218.3,63.2,63.3,63.4,79.7,79.7,79.7,46.5,46.8,47.0,341.1,94.8,246.3,932.2,467.6,464.6
Jun-1980,553.8,552.6,553.8,353.9,353.2,352.4,199.9,199.4,201.5,450.3,447.9,446.4,334.9,333.9,332.9,115.4,113.9,113.4,107.4,19.4,88.0,59.3,59.1,59.3,75.6,75.4,75.2,42.9,42.8,43.3,37.5,37.7,36.3,20.2,20.1,19.3,17.3,17.6,16.9,30.9,18.3,12.7,5.3,1.0,4.3,6.3,6.4,6.1,5.4,5.4,5.2,8.0,8.1,7.8,6.5,5.2,10.0,4.7,5.1,4.6,591.3,590.3,590.1,374.2,373.3,371.7,217.2,217.0,218.4,63.3,63.2,63.2,79.9,79.7,79.3,46.6,46.6,46.9,344.1,96.8,247.4,934.2,468.4,465.8
Jul-1980,556.9,563.5,562.4,355.8,356.6,354.7,201.2,206.9,207.7,452.3,457.0,455.6,336.5,340.8,338.6,115.9,116.2,117.1,106.7,16.1,90.6,59.5,60.2,60.1,75.8,76.0,75.6,43.1,44.3,44.5,37.0,36.6,35.9,19.9,19.6,20.2,17.1,17.0,15.7,29.1,18.4,10.8,6.8,1.8,5.0,6.2,6.1,6.0,5.3,5.2,5.4,7.8,7.6,7.0,6.0,5.2,8.4,6.0,10.2,5.2,594.0,600.1,598.3,375.7,376.2,374.9,218.3,223.9,223.4,63.5,64.1,63.9,80.1,80.2,79.9,46.8,48.0,47.9,337.3,94.2,243.1,935.6,469.0,466.5
Aug-1980,559.9,561.3,554.6,357.5,357.3,351.3,202.4,203.9,203.2,454.8,457.0,448.4,337.9,339.0,332.9,116.8,117.9,115.5,106.2,18.5,87.7,59.7,59.9,59.2,76.1,76.1,74.8,43.3,43.6,43.5,36.5,37.4,37.1,19.6,20.6,21.1,16.9,16.8,16.0,30.8,19.5,11.3,6.3,1.6,4.7,6.1,6.2,6.3,5.2,5.5,5.7,7.7,7.6,7.3,6.4,5.5,8.9,5.6,7.9,5.1,596.5,598.6,591.6,377.2,377.9,372.4,219.3,220.7,219.2,63.6,63.9,63.1,80.3,80.4,79.3,46.9,47.2,46.9,345.5,97.4,248.2,937.2,469.8,467.4
Sep-1980,562.7,562.5,565.0,359.3,359.6,359.6,203.4,202.9,205.4,457.6,455.7,456.1,339.4,338.9,338.2,118.2,116.7,117.9,108.9,21.4,87.5,59.9,59.9,60.2,76.3,76.4,76.4,43.4,43.3,43.8,36.1,36.1,35.0,19.3,19.3,18.9,16.7,16.7,16.1,28.4,17.2,11.2,6.6,1.7,4.9,6.0,6.0,5.8,5.1,5.1,5.0,7.6,7.6,7.3,5.9,4.8,8.7,5.7,7.4,5.3,598.8,598.6,599.9,378.6,378.9,378.5,220.2,219.6,221.5,63.8,63.7,63.9,80.4,80.5,80.4,47.0,46.9,47.3,339.1,92.1,246.9,939.0,470.6,468.4
Oct-1980,565.3,561.3,560.8,361.0,360.1,358.0,204.2,201.2,202.8,460.7,457.5,454.8,340.9,340.5,337.9,119.8,117.0,116.9,106.0,20.1,85.9,60.1,59.7,59.6,76.6,76.4,75.9,43.5,42.9,43.2,35.6,37.5,34.9,19.0,18.9,17.5,16.6,18.7,17.4,29.2,16.6,12.6,5.7,0.9,4.8,5.9,6.3,5.9,5.0,5.0,4.7,7.5,8.5,7.9,6.0,4.7,9.7,5.1,4.2,5.3,600.9,598.8,595.7,380.1,378.9,375.5,220.8,219.9,220.1,63.9,63.6,63.3,80.6,80.4,79.6,47.0,46.8,46.9,345.1,96.0,249.2,940.8,471.5,469.3
Nov-1980,567.5,568.7,568.6,362.6,363.3,361.9,204.9,205.4,206.7,463.7,464.5,462.8,342.5,341.8,339.8,121.3,122.7,123.0,105.8,22.1,83.7,60.2,60.3,60.3,76.7,76.9,76.6,43.6,43.7,43.9,35.2,34.0,30.7,18.8,18.0,16.4,16.4,16.0,14.3,26.1,15.3,10.8,4.6,1.2,3.4,5.8,5.6,5.1,4.9,4.7,4.3,7.4,7.2,6.5,5.3,4.3,8.1,4.2,5.1,3.9,602.7,602.7,599.3,381.4,381.4,378.3,221.3,221.3,221.0,63.9,63.9,63.6,80.7,80.7,80.1,47.0,47.1,47.0,343.5,94.1,249.4,942.8,472.5,470.3
Dec-1980,569.2,569.6,577.8,363.9,363.2,369.0,205.3,206.4,208.8,466.3,468.2,476.0,343.8,343.4,349.2,122.4,124.8,126.8,101.8,19.7,82.1,60.2,60.3,61.1,76.9,76.7,77.9,43.5,43.8,44.3,35.0,37.4,40.7,18.7,20.7,21.4,16.3,16.7,19.2,32.9,19.7,13.2,7.7,1.7,6.1,5.8,6.2,6.6,4.9,5.4,5.5,7.4,7.5,8.4,6.5,5.4,9.4,7.1,7.9,6.9,604.2,607.1,618.5,382.6,383.9,390.4,221.6,223.2,228.1,63.9,64.2,65.4,80.8,81.1,82.4,47.0,47.3,48.4,326.6,83.2,243.4,945.0,473.6,471.5
Jan-1981,570.3,571.5,566.9,364.8,365.4,366.3,205.5,206.1,200.5,468.1,470.7,474.0,344.9,347.0,349.5,123.2,123.7,124.5,92.9,16.8,76.0,60.2,60.4,59.9,76.9,77.0,77.2,43.5,43.6,42.4,35.0,35.6,39.5,18.8,19.2,21.9,16.1,16.4,17.6,34.7,20.4,14.3,4.8,1.5,3.3,5.8,5.9,6.5,4.9,5.0,5.6,7.3,7.4,8.1,6.8,5.5,10.3,5.0,8.3,4.2,605.2,607.1,606.4,383.6,384.6,388.2,221.7,222.5,218.1,63.9,64.1,64.0,80.8,81.1,81.8,46.9,47.1,46.2,340.5,86.3,254.3,946.9,474.5,472.4
Feb-1981,571.0,567.4,565.6,365.2,366.1,368.0,205.7,201.3,197.6,469.2,467.0,470.6,345.6,347.2,350.8,123.6,119.8,119.8,95.0,17.2,77.8,60.2,59.8,59.6,76.8,77.0,77.4,43.4,42.5,41.7,34.9,34.0,38.4,18.9,18.6,20.7,16.0,15.4,17.7,33.0,19.7,13.3,5.4,1.0,4.3,5.8,5.7,6.4,4.9,4.8,5.3,7.2,7.1,8.2,6.6,5.3,10.0,5.4,5.7,5.3,605.9,601.4,604.0,384.1,384.7,388.7,221.7,216.7,215.3,63.8,63.4,63.6,80.8,80.9,81.7,46.8,45.8,45.5,345.1,86.9,258.2,949.1,475.5,473.5
Mar-1981,571.2,569.1,570.9,365.3,365.3,367.6,205.9,203.7,203.3,469.6,467.9,468.7,345.8,345.6,348.5,123.8,122.2,120.2,102.3,19.2,83.1,60.1,59.8,60.0,76.7,76.6,77.1,43.4,42.9,42.8,34.8,36.1,38.0,19.0,19.5,19.6,15.8,16.6,18.4,30.2,18.2,12.0,7.8,1.4,6.4,5.7,6.0,6.2,5.0,5.1,5.1,7.1,7.5,8.3,6.1,5.0,9.1,7.1,6.7,7.1,606.1,605.1,608.9,384.3,384.8,387.2,221.8,220.3,221.7,63.7,63.6,64.0,80.6,80.7,81.2,46.7,46.4,46.7,342.5,89.5,253.0,951.4,476.7,474.7
Apr-1981,571.3,571.8,575.4,365.1,363.1,365.8,206.2,208.8,209.6,469.4,469.1,470.8,345.6,344.0,345.9,123.8,125.1,124.9,104.6,20.0,84.7,59.9,60.0,60.4,76.4,76.0,76.6,43.4,43.9,44.1,34.8,33.0,32.4,19.1,18.9,17.9,15.8,14.1,14.5,25.7,16.3,9.5,6.7,1.7,5.0,5.7,5.5,5.3,5.0,4.9,4.7,7.1,6.3,6.5,5.2,4.5,7.0,6.0,7.7,5.6,606.1,604.8,607.8,384.2,381.9,383.8,222.0,222.9,224.1,63.6,63.5,63.8,80.4,80.0,80.4,46.7,46.9,47.1,345.3,93.8,251.5,953.2,477.6,475.6
May-1981,571.3,569.3,572.5,364.7,364.3,365.9,206.6,205.0,206.6,469.0,468.5,470.0,345.2,345.3,346.3,123.8,123.1,123.6,102.5,19.6,82.9,59.8,59.6,59.9,76.2,76.1,76.5,43.3,43.0,43.3,35.0,35.4,33.4,19.1,19.7,18.3,15.9,15.7,15.1,27.6,17.0,10.6,5.8,1.3,4.5,5.8,5.9,5.5,5.0,5.1,4.8,7.1,7.1,6.8,5.5,4.7,7.9,5.3,6.4,5.1,606.3,604.7,605.9,383.8,383.9,384.2,222.5,220.7,221.6,63.5,63.3,63.4,80.2,80.2,80.3,46.7,46.3,46.5,349.3,94.3,255.0,955.1,478.5,476.6
Jun-1981,571.4,573.8,574.8,364.2,365.4,364.5,207.2,208.4,210.3,468.5,469.7,468.1,344.8,345.8,344.9,123.7,123.9,123.2,106.7,19.6,87.1,59.7,59.9,60.0,75.9,76.2,76.0,43.4,43.6,44.0,35.4,34.3,33.1,19.2,18.4,17.7,16.2,15.9,15.4,28.1,16.7,11.4,5.0,1.0,4.0,5.8,5.6,5.4,5.0,4.8,4.6,7.2,7.1,6.8,5.7,4.6,8.4,4.5,4.8,4.4,606.7,608.0,607.8,383.4,383.8,382.2,223.4,224.3,225.6,63.4,63.5,63.5,79.9,80.0,79.7,46.7,46.9,47.2,349.5,97.5,252.0,957.3,479.6,477.7
Jul-1981,571.4,572.5,571.3,363.6,364.2,362.3,207.8,208.3,209.0,468.1,469.1,468.0,344.6,344.7,342.7,123.5,124.4,125.4,103.3,19.6,83.6,59.5,59.6,59.5,75.6,75.7,75.3,43.4,43.5,43.6,36.0,34.0,33.3,19.4,17.5,17.9,16.6,16.5,15.3,27.9,16.6,11.2,5.4,1.3,4.1,5.9,5.6,5.5,5.1,4.6,4.7,7.4,7.3,6.8,5.6,4.6,8.2,5.0,6.3,4.7,607.4,606.5,604.6,383.0,381.7,380.2,224.4,224.8,224.4,63.3,63.2,63.0,79.6,79.3,79.0,46.8,46.9,46.8,355.5,100.8,254.7,960.1,481.1,479.1
Aug-1981,571.5,569.6,562.6,363.3,362.8,357.0,208.3,206.8,205.7,467.9,464.7,456.0,344.8,343.5,337.3,123.1,121.2,118.7,106.6,19.7,86.9,59.4,59.2,58.4,75.3,75.2,74.0,43.3,43.0,42.8,36.9,37.7,37.2,19.8,20.1,20.6,17.2,17.6,16.7,32.7,19.7,12.9,4.6,0.8,3.7,6.1,6.2,6.2,5.2,5.3,5.4,7.6,7.8,7.5,6.7,5.5,9.8,4.1,4.1,4.1,608.5,607.4,599.8,383.1,382.9,377.5,225.4,224.4,222.3,63.2,63.1,62.3,79.4,79.4,78.2,46.9,46.7,46.3,363.1,105.0,258.1,962.9,482.5,480.5
Sep-1981,571.8,571.4,573.8,363.3,362.6,362.4,208.5,208.8,211.4,468.0,471.2,471.5,345.3,345.7,344.8,122.7,125.5,126.7,102.2,17.6,84.6,59.2,59.2,59.4,75.1,74.9,74.9,43.3,43.3,43.9,38.1,40.1,39.2,20.3,22.0,21.6,17.7,18.1,17.6,33.0,19.8,13.2,6.2,1.8,4.4,6.2,6.6,6.4,5.3,5.7,5.6,7.8,8.0,7.7,6.5,5.4,9.4,5.7,9.1,5.0,609.9,611.5,613.0,383.6,384.5,384.0,226.2,227.0,229.0,63.2,63.3,63.5,79.3,79.5,79.3,47.0,47.1,47.5,352.8,99.9,252.9,965.8,483.9,481.8
Oct-1981,572.2,572.0,572.0,363.8,363.1,361.4,208.5,208.9,210.6,468.3,467.2,464.8,346.0,345.1,342.8,122.3,122.1,122.0,107.2,18.6,88.6,59.1,59.1,59.1,75.0,74.9,74.5,43.2,43.2,43.6,39.3,37.4,34.5,21.0,19.6,18.1,18.4,17.8,16.4,28.8,16.9,11.9,5.8,1.2,4.5,6.4,6.1,5.7,5.4,5.1,4.8,8.1,7.8,7.2,5.8,4.7,8.9,5.1,6.2,4.9,611.6,609.4,606.6,384.7,382.7,379.6,226.9,226.7,227.0,63.2,62.9,62.6,79.3,78.9,78.3,47.0,46.9,47.0,361.6,105.5,256.1,968.2,485.1,483.1
Nov-1981,573.0,573.8,574.2,364.7,364.1,363.1,208.2,209.7,211.1,468.8,468.3,467.1,347.0,347.5,346.0,121.8,120.8,121.1,107.1,17.1,90.0,59.0,59.1,59.2,75.0,74.9,74.7,43.0,43.3,43.6,40.5,40.6,36.9,21.5,21.9,20.1,19.0,18.7,16.8,31.9,19.0,13.0,5.0,1.1,3.9,6.6,6.6,6.0,5.6,5.7,5.2,8.3,8.2,7.4,6.4,5.2,9.7,4.5,6.2,4.1,613.5,614.4,611.1,386.3,386.0,383.3,227.2,228.4,227.9,63.2,63.3,63.0,79.4,79.4,78.8,46.9,47.2,47.0,359.4,102.9,256.5,970.6,486.2,484.4
Dec-1981,574.0,573.8,581.9,366.1,366.8,372.5,207.9,207.0,209.5,469.4,472.7,480.7,348.0,350.7,356.7,121.4,122.0,124.0,101.2,15.8,85.4,59.0,59.0,59.8,75.1,75.3,76.4,42.8,42.6,43.1,41.4,42.1,45.3,21.9,22.3,23.1,19.6,19.7,22.2,37.4,20.7,16.6,8.0,2.3,5.6,6.7,6.8,7.2,5.6,5.7,5.8,8.6,8.7,9.6,7.2,5.5,11.8,7.3,12.9,6.2,615.4,615.9,627.3,388.0,389.2,395.6,227.4,226.7,231.7,63.2,63.3,64.5,79.6,79.9,81.2,46.8,46.7,47.7,345.7,91.8,253.9,973.0,487.3,485.6
Jan-1982,575.2,575.5,570.6,367.6,368.2,369.1,207.6,207.3,201.5,470.1,471.6,474.7,348.9,349.1,351.6,121.2,122.5,123.1,96.0,17.5,78.4,59.0,59.0,58.5,75.2,75.4,75.5,42.6,42.6,41.4,42.1,43.6,48.1,22.0,23.0,26.1,20.2,20.6,22.0,41.6,24.1,17.4,6.5,2.0,4.5,6.8,7.0,7.8,5.6,5.9,6.6,8.8,9.1,9.8,8.1,6.4,12.4,6.3,10.2,5.4,617.3,619.1,618.7,389.6,391.2,395.2,227.8,227.9,223.5,63.3,63.5,63.4,79.7,80.1,80.9,46.8,46.8,45.9,356.8,93.4,263.4,975.5,488.6,486.9
Feb-1982,576.3,576.1,573.9,368.7,368.4,369.8,207.7,207.7,204.1,470.7,468.5,471.5,349.5,348.2,351.2,121.2,120.3,120.3,102.4,18.6,83.8,58.9,58.9,58.7,75.3,75.2,75.5,42.5,42.5,41.8,42.7,41.7,46.9,22.1,21.7,24.0,20.6,20.0,22.9,40.7,22.8,17.9,6.2,1.2,5.0,6.9,6.8,7.6,5.7,5.6,6.1,9.0,8.8,10.1,7.9,6.1,12.9,5.7,5.8,5.7,619.1,617.8,620.8,390.8,390.1,393.8,228.3,227.7,227.0,63.3,63.2,63.5,79.8,79.6,80.4,46.8,46.7,46.5,357.3,96.1,261.2,978.1,489.9,488.2
Mar-1982,577.4,576.0,577.7,369.2,369.2,371.1,208.2,206.7,206.6,471.2,469.9,470.2,349.6,350.4,352.6,121.5,119.5,117.6,107.5,18.5,89.0,58.9,58.7,58.9,75.2,75.2,75.5,42.5,42.2,42.2,43.3,43.2,45.8,22.4,22.1,22.3,20.9,21.1,23.5,37.9,19.6,18.3,8.0,2.7,5.3,7.0,7.0,7.3,5.7,5.6,5.7,9.1,9.3,10.2,7.5,5.3,13.5,6.9,12.8,5.6,620.7,619.2,623.5,391.6,391.3,393.3,229.1,227.9,230.2,63.3,63.1,63.6,79.7,79.7,80.1,46.8,46.6,47.0,357.1,97.9,259.3,980.6,491.2,489.4
Apr-1982,578.2,579.5,579.3,369.1,370.1,370.7,209.1,209.5,208.6,471.3,471.7,470.3,349.2,350.0,349.4,122.1,121.7,120.9,108.9,21.2,87.7,58.8,59.0,58.9,75.0,75.2,75.3,42.6,42.7,42.5,44.0,43.8,43.6,23.1,22.5,21.4,20.9,21.4,22.2,36.6,19.4,17.2,7.0,2.1,4.9,7.1,7.0,7.0,5.9,5.7,5.5,9.1,9.3,9.6,7.2,5.2,12.5,6.1,8.9,5.3,622.2,623.4,622.9,392.2,392.5,392.1,230.0,230.8,230.7,63.3,63.4,63.4,79.7,79.7,79.6,46.9,47.0,47.0,360.1,100.2,259.9,983.0,492.3,490.6
May-1982,578.8,580.2,583.1,368.5,368.6,370.0,210.4,211.6,213.1,471.2,473.2,474.6,348.5,348.4,349.3,122.7,124.8,125.4,108.5,20.7,87.8,58.7,58.9,59.2,74.7,74.7,75.0,42.8,43.0,43.3,44.9,43.8,41.7,24.3,23.1,21.8,20.6,20.7,19.9,34.9,20.5,14.4,6.9,1.3,5.5,7.2,7.0,6.7,6.2,5.9,5.6,8.9,8.9,8.6,6.8,5.5,10.3,5.9,6.0,5.9,623.7,624.0,624.8,392.7,391.7,391.7,231.0,232.3,233.1,63.3,63.3,63.4,79.6,79.4,79.4,47.0,47.2,47.4,360.5,101.8,258.8,985.3,493.5,491.8
Jun-1982,579.3,578.6,579.4,367.7,367.5,366.6,211.6,211.1,212.8,471.0,476.3,474.4,347.6,348.2,347.4,123.4,128.1,127.0,105.0,19.2,85.9,58.6,58.6,58.7,74.3,74.3,74.1,42.9,42.8,43.2,46.2,47.6,46.0,25.9,26.9,26.0,20.3,20.6,20.0,39.0,23.8,15.2,7.0,2.2,4.8,7.4,7.6,7.4,6.6,6.8,6.6,8.8,8.9,8.6,7.6,6.4,10.7,6.3,10.3,5.3,625.5,626.2,625.5,393.6,394.5,392.7,231.9,231.7,232.8,63.3,63.4,63.3,79.6,79.8,79.4,47.0,47.0,47.2,362.2,102.0,260.2,987.7,494.6,493.0
Jul-1982,579.6,578.5,577.3,367.1,366.3,364.4,212.6,212.2,212.8,470.8,468.4,467.8,346.7,345.1,343.5,124.1,123.3,124.4,109.4,21.0,88.4,58.5,58.4,58.3,74.0,73.9,73.5,43.0,42.9,43.1,47.7,47.2,46.7,27.7,28.1,28.6,20.0,19.1,18.1,39.9,26.8,13.1,6.7,1.8,5.0,7.6,7.5,7.5,7.0,7.1,7.3,8.6,8.3,7.8,7.9,7.2,9.5,5.8,7.7,5.3,627.4,625.7,623.9,394.8,394.4,393.0,232.6,231.3,230.9,63.4,63.2,63.0,79.6,79.5,79.3,47.1,46.8,46.7,366.3,102.9,263.4,990.2,495.9,494.3
Aug-1982,579.8,579.4,573.0,366.6,365.9,360.4,213.2,213.6,212.6,470.6,469.3,460.8,345.9,345.4,339.4,124.7,123.9,121.5,112.2,21.0,91.2,58.4,58.4,57.7,73.8,73.6,72.5,43.0,43.1,42.9,49.3,49.4,48.7,29.4,29.5,30.0,19.9,19.9,18.7,42.6,28.9,13.8,6.1,1.2,4.9,7.8,7.9,7.8,7.4,7.5,7.7,8.5,8.5,8.1,8.5,7.8,10.2,5.1,5.2,5.1,629.1,628.8,621.8,396.1,395.3,390.4,233.1,233.5,231.4,63.4,63.3,62.6,79.7,79.5,78.5,47.0,47.1,46.7,371.0,106.8,264.2,992.8,497.2,495.6
Sep-1982,579.6,583.3,585.9,366.3,365.8,365.7,213.3,217.6,220.2,470.2,469.8,470.1,345.2,344.8,343.9,125.0,125.0,126.1,115.9,21.7,94.1,58.3,58.6,58.9,73.5,73.4,73.3,42.9,43.8,44.3,51.0,47.8,47.0,30.9,30.8,30.2,20.0,17.0,16.8,39.6,27.5,12.1,7.4,2.8,4.7,8.1,7.6,7.4,7.8,7.8,7.6,8.6,7.3,7.1,7.8,7.4,8.7,6.0,11.3,4.7,630.5,631.1,632.9,397.2,396.5,395.9,233.3,234.6,237.0,63.4,63.4,63.6,79.7,79.5,79.4,47.0,47.2,47.7,362.5,102.6,259.8,995.4,498.6,496.9
Oct-1982,578.9,581.0,581.4,365.9,366.9,365.7,213.0,214.1,215.8,469.7,472.4,470.2,344.5,346.0,343.9,125.2,126.4,126.3,111.2,21.8,89.5,58.1,58.3,58.3,73.3,73.5,73.2,42.8,43.0,43.3,52.6,56.0,51.3,32.1,32.4,29.8,20.5,23.6,21.6,42.2,28.2,14.0,9.1,1.6,7.5,8.3,8.8,8.1,8.1,8.1,7.5,8.8,9.9,9.1,8.2,7.6,10.0,7.6,6.8,7.8,631.6,637.1,632.8,398.0,399.4,395.4,233.6,237.7,237.3,63.3,63.9,63.5,79.7,80.0,79.2,46.9,47.8,47.7,364.4,103.9,260.5,997.2,499.4,497.8
Nov-1982,577.8,578.5,579.4,365.1,366.5,366.0,212.7,212.0,213.4,468.5,469.2,468.5,343.4,344.3,343.4,125.1,124.9,125.1,110.8,22.5,88.3,57.8,57.9,58.0,73.0,73.3,73.2,42.6,42.5,42.8,54.4,54.8,50.2,33.3,33.6,31.0,21.2,21.2,19.2,43.7,29.9,13.8,6.4,1.1,5.4,8.6,8.7,8.0,8.3,8.4,7.8,9.1,9.1,8.3,8.5,8.0,10.0,5.5,4.5,5.7,632.2,633.4,629.5,398.4,400.2,396.9,233.9,233.2,232.6,63.3,63.4,63.0,79.6,80.0,79.4,46.9,46.8,46.6,369.5,103.3,266.2,999.0,500.2,498.7
Dec-1982,576.2,575.4,583.6,363.8,363.9,369.4,212.3,211.5,214.2,466.7,467.4,475.4,342.0,342.1,347.9,124.7,125.3,127.5,108.2,21.4,86.7,57.6,57.5,58.3,72.6,72.6,73.7,42.5,42.3,42.9,56.3,55.3,58.5,34.4,34.2,35.2,21.8,21.2,23.3,49.6,32.7,16.9,8.9,2.5,6.4,8.9,8.8,9.1,8.6,8.6,8.7,9.3,9.1,9.8,9.4,8.6,11.7,7.6,10.6,6.9,632.4,630.7,642.1,398.3,398.0,404.6,234.2,232.7,237.5,63.2,63.0,64.2,79.5,79.5,80.8,46.9,46.6,47.5,358.5,96.3,262.2,1000.6,500.9,499.7
Jan-1983,574.3,573.9,568.6,362.3,362.0,362.7,212.0,211.9,205.8,464.4,463.5,466.3,340.5,339.7,342.1,123.9,123.8,124.2,102.3,20.7,81.6,57.3,57.2,56.7,72.1,72.1,72.2,42.3,42.3,41.1,58.0,57.9,63.5,35.7,34.9,39.3,22.4,23.0,24.2,56.2,36.9,19.3,7.3,2.4,4.9,9.2,9.2,10.1,9.0,8.8,9.8,9.5,9.8,10.5,10.8,9.7,13.5,6.7,10.5,5.6,632.3,631.8,632.1,397.9,396.9,402.1,234.4,234.9,230.0,63.0,63.0,63.0,79.2,79.1,80.1,46.8,46.9,45.9,370.8,100.0,270.8,1002.9,502.1,500.9
Feb-1983,572.7,571.7,569.1,360.8,360.0,360.9,211.9,211.7,208.2,462.5,462.7,465.0,339.3,339.4,341.7,123.2,123.3,123.3,104.2,19.3,84.9,57.0,56.9,56.6,71.7,71.5,71.7,42.2,42.2,41.5,59.6,59.8,66.7,37.0,36.3,39.9,22.6,23.5,26.8,58.3,37.4,20.8,8.4,2.4,6.0,9.4,9.5,10.5,9.3,9.2,9.9,9.6,10.0,11.4,11.1,9.9,14.5,7.5,11.2,6.6,632.2,631.5,635.8,397.7,396.3,400.8,234.5,235.2,235.0,62.9,62.8,63.3,79.0,78.8,79.6,46.7,46.8,46.8,369.4,102.4,267.0,1005.3,503.2,502.0
Mar-1983,571.9,574.4,576.1,359.8,360.1,361.3,212.0,214.3,214.7,461.7,460.4,460.1,338.8,337.8,339.2,123.0,122.6,120.9,116.0,22.1,93.9,56.8,57.0,57.2,71.3,71.4,71.6,42.1,42.6,42.7,60.8,59.6,62.3,38.1,39.5,40.1,22.7,20.1,22.3,54.7,37.5,17.2,7.7,2.6,5.1,9.6,9.4,9.8,9.6,9.9,10.0,9.7,8.6,9.4,10.6,9.9,12.5,6.2,10.5,5.1,632.7,634.0,638.4,397.9,399.6,401.4,234.8,234.4,237.0,62.8,62.9,63.4,78.9,79.2,79.6,46.7,46.6,47.1,369.2,103.0,266.2,1007.6,504.4,503.2
